Brand, Product Name, Product Price
Lenovo,Lenovo Laptop ThinkPad E580 (20KS003WUS) Intel Core i5 7th Gen 7200U (2.50 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 620 15.6" Windows 10 Pro 64-Bit,Rp7.285.572
Lenovo,Lenovo ThinkPad 11e 20HY0000US 11.6" Touchscreen LCD Chromebook - Intel Celeron N3450 Quad-core (4 Core) 1.10 GHz - 4 GB LPDDR4 - 32 GB Flash Memory - Chrome OS - 1366 x 768 - In-plane Switching (I...,Rp5.672.570
Lenovo,Lenovo Laptop IdeaPad 330-15AST 81D600BDUS AMD A6-Series A6-9225 (2.60 GHz) 4 GB Memory 1 TB HDD AMD Radeon R4 Series 15.6"  Windows 10 Home 64-Bit - Midnight Blue,Rp4.557.648
ASUS,ASUS Laptop| 15.6" Full HD| Intel Core i5-7200U Processor (3M Cache| Up to 3.1 GHz)| 8 GB DDR4 RAM| 1 TB FireCuda SSHD| DVD-RW Drive| Micro SD Card Reader| Windows 10 - X540UA-DB52,Rp8.177.858
Lenovo,Lenovo Laptop ThinkPad T480s (20L7005FUS) Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 14.0" Windows 10 Pro 64-Bit,Rp24.546.130
Lenovo,Lenovo 81CY0008US 11.6" Laptop N3450 4GB 128GB eMMC Windows 10 Pro,Rp5.817.236
Acer America,Acer Travelmate Laptop NX.VDKAA.105 Intel Core i5 6th Gen 6200U (2.30 GHz) 4 GB Memory 256 GB SSD 14.0" Windows 10 Pro,Rp8.957.715
Lenovo,Lenovo Laptop ThinkPad A285 20MW000TUS AMD Ryzen 5 2500U (2.00 GHz) 8 GB Memory 256 GB SSD AMD Radeon Vega 8 12.5" Touchscreen Windows 10 Pro 64-Bit,Rp17.208.076
Lenovo,Lenovo Laptop ThinkPad L580 (20LW003NUS) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 620 15.6" Windows 10 Pro 64-bit,Rp11.297.194
Lenovo,Lenovo Laptop ThinkPad X1 Extreme 20MF000QUS Intel Core i7 8th Gen 8850H (2.60 GHz) 32 GB Memory 1 TB SSD NVIDIA GeForce GTX 1050 Ti 15.6" 4K/UHD Touchscreen Windows 10 Pro 64-Bit,Rp42.517.657
Lenovo,Lenovo Laptop ThinkPad X1 Extreme 20MF000MUS Intel Core i7 8th Gen 8850H (2.60 GHz) 16 GB Memory 512 GB SSD NVIDIA GeForce GTX 1050 Ti 15.6" 4K/UHD Touchscreen Windows 10 Pro 64-Bit,Rp36.414.286
Lenovo,Lenovo Laptop ThinkPad X1 Extreme 20MF000PUS Intel Core i7 8th Gen 8750H (2.20 GHz) 32 GB Memory 1 TB SSD NVIDIA GeForce GTX 1050 Ti 15.6" 4K/UHD Touchscreen Windows 10 Pro 64-Bit,Rp38.033.409
Lenovo,Lenovo Laptop IdeaPad 530S-14IKB 81EU00G7US Intel Core i7 8th Gen 8550U (1.80 GHz) 16 GB Memory 512 GB PCIe SSD NVIDIA GeForce MX150 14.0" Windows 10 Home 64-Bit,Rp15.335.850
Lenovo,Lenovo Laptop IdeaPad 130S-14IGM 81KU0001US Intel Pentium Silver N5000 (1.10 GHz) 4 GB LPDDR4 Memory 64 GB eMMC Intel UHD Graphics 605 14.0" Windows 10 S,Rp4.424.287
ASUS,ASUS L402 Thin and Light Laptop| 14" HD| AMD E2-6110 Processor| AMD Radeon R2 Graphics| 4 GB DDR3 RAM| 32 GB eMMC Flash Storage| Windows 10 S with 1yr Office 365 Subscription Included - L402WA-EH21,Rp3.271.429
MSI,MSI Laptop P65 Creator 8RF-442 Intel Core i7 8th Gen 8750H (2.20 GHz) 16 GB Memory 256 GB NVMe SSD NVIDIA GeForce GTX 1070 15.6" Windows 10 Pro 64-Bit,
MSI,MSI Laptop P65 Creator 8RE-020 Intel Core i7 8th Gen 8750H (2.20 GHz) 16 GB Memory 512 GB NVMe SSD NVIDIA GeForce GTX 1060 15.6" Windows 10 Pro 64-Bit,Rp22.842.858
Lenovo,Lenovo ThinkPad T580 20L9003EUS 15.6" Laptop i5-8350U 8GB 256 GB SSD W10P,Rp24.003.334
Lenovo,Lenovo Laptop IdeaPad 730S 81JB0003US Intel Core i7 8th Gen 8565U (1.80 GHz) 16 GB Memory 512 GB NVMe SSD Intel UHD Graphics 620 13.3" Windows 10 Home 64-Bit,Rp15.957.144
Lenovo,Lenovo Laptop IdeaPad 330 81DJ000AUS Intel Core i3 8th Gen 8130U (2.20 GHz) 8 GB Memory 2 TB HDD Intel UHD Graphics 620 15.6" Touchscreen Windows 10 Home 64-Bit,Rp7.867.996
Lenovo,Lenovo 81DM0005US Ideapad 330 17.3" Laptop Notebook PC Computer 8th Gen i7 GeForce MX150 16GB Memory 1TB Hard Drive 2GB GeForce MX150,Rp11.659.016
Lenovo,Lenovo - 330-15IGM 15.6" Laptop - Intel Celeron - 4GB Memory - 500GB Hard Drive - Platinum Gray 81D1003TUS Notebook PC Computer,Rp4.143.170
